,title,media,date,desc,link,Local,quarter,cluster
653,Washington murder suspect arrested in Louisiana,KIRO-TV,2019-09-01 00:00:00,"SEATTLE — Shawn Cooke, who allegedly shot and killed a man in the parking lot of ... Louisiana as well as the Fife Police Department who dedicated countless ...",https://www.kiro7.com/news/local/washington-murder-suspect-arrested-in-louisiana/992429976/,0,Q3,6
654,UPDATE: Flipped-car crash at 49th/Spokane | West Seattle ...,West Seattle Blog…,2019-09-01 00:00:00,"Sure! But that's not working for many, and we certainly cannot safely or legally police each other. Yes, SPD can't be everywhere all the time, ...",https://westseattleblog.com/2019/09/crash-at-49th-spokane/,0,Q3,3
655,Group: We warned Germany of Russia threats to slain Georgian,The Seattle Times,2019-09-01 00:00:00,"In a rare step, Berlin police published a photograph of the suspect and called for anyone who saw the man in the days before the killing, knew where he ...",https://www.seattletimes.com/nation-world/nation/group-we-warned-germany-of-russia-threats-to-slain-georgian/,0,Q3,0
656,Police: Gangs aren’t only factor in Tacoma homicide rate,The Seattle Times,2019-09-01 00:00:00,"(In Seattle, 24 people – 21 men and three women – have been victims of homicide this year as of Sept ... statistics and the Police Department say otherwise.",https://www.seattletimes.com/seattle-news/crime/police-gangs-arent-only-factor-in-tacoma-homicide-rate/,0,Q3,3
657,"Police: Teen livestreamed crash that killed mother, injured toddler in Tukwila",The Seattle Times,2019-09-01 00:00:00,The Seattle Times generally does not identify juvenile defendants unless they ... the Tukwila Police Department's Explorer Program for teens interested in ...,https://www.seattletimes.com/seattle-news/crime/police-teen-livestreamed-crash-that-killed-mother-injured-toddler-in-tukwila/,0,Q3,3
658,Why is Seattle giving parking tickets to homeless man who won’t pay them?,MyNorthwest.com,2019-09-01 00:00:00,"When asked, the court referred KIRO Radio to the Seattle Police Department. We are waiting to hear back. Subscribe to MyNorthwest.com's Breaking News Alerts.",https://mynorthwest.com/1500324/gene-minetti-homeless-parking-tickets-seattle/,0,Q3,3
659,Vancouver police locate missing Hudson's Bay High School student,KOMO,2019-09-01 00:00:00,UPDATE: Vancouver police detectives located Elishah Saheb Monday morning. The police department thanks the community for their tips and help in the case.,https://komonews.com/news/local/vancouver-police-search-for-missing-hudson-high-school-student,0,Q3,3
660,New Metro bus cameras capture violence against passengers,KIRO-TV,2019-09-01 00:00:00,A teenage suspect was arrested by the Seattle Police Department. The president of King County Metro Drivers' Union ATU 587 said during his decades as a ...,https://www.kiro7.com/news/local/new-metro-bus-cameras-capture-violence-against-passengers/990434589/,0,Q3,2
661,Homeless RV campers a nuisance for businesses in Interbay,KOMO,2019-09-01 00:00:00,Angier adds that he empathizes with the Seattle Police Department who say they have issued 72-hour parking notices to most of the campers on West Armory Way ...,https://komonews.com/news/local/homeless-rv-campers-a-nuisance-for-businesses-in-interbay,0,Q3,3
662,Student with gun puts Tacoma’s Mount Tahoma HS into lockdown,MyNorthwest.com,2019-09-01 00:00:00,"“Our 'see something, say something campaign' with the Tacoma Police Department worked perfectly today,” said Dan Voelpel with Tacoma Public Schools.",https://mynorthwest.com/1508720/tacoma-mount-tahoma-high-school-goes-into-lockdown/,0,Q3,7
663,Rantz: Seattle business rips council incompetence in scathing viral letter,MyNorthwest.com,2019-09-01 00:00:00,Spice slams the city for passing a head tax while not adequately addressing the affordability crisis or the Seattle Police Department staffing crisis.,https://mynorthwest.com/1516848/seattle-biscuit-bitch-viral-letter/?,0,Q3,3
664,Police: Goods worth thousands stolen weekly from store by homeless living in nearby woods,KIRO-TV,2019-09-01 00:00:00,"The Kent Police Department said the 36-year-old suspect in the case was arrested on ""other"" charges as the investigation wraps with more charges expected.",https://www.kiro7.com/news/local/police-goods-worth-thousands-stolen-weekly-from-store-by-homeless-living-in-nearby-woods/990935737/,0,Q3,2
665,Getting around south end of downtown: Viaduct-and-more ...,West Seattle Blog...,2019-09-01 00:00:00,... West Seattle weather (1739) · West Seattle police (1625) ... Driver had no idea how the reroute was to work but SPD or Metro had someone at 2nd and ...,https://westseattleblog.com/2019/09/getting-around-south-end-of-downtown-viaduct-and-more-briefing/,0,Q3,3
666,"Guns, money, $300K worth of fentanyl seized from Sammamish home",MyNorthwest.com,2019-09-01 00:00:00,The drugs were reportedly intended for sale along Seattle's Aurora Avenue and in Lake City. Fentanyl deaths in King County almost double in 2018. Police ...,https://mynorthwest.com/1515644/guns-money-300k-worth-of-fentanyl-seized-from-sammamish-home/,0,Q3,3
667,Family of man killed by Aberdeen police wants answers,KING 5,2019-09-01 00:00:00,"The Aberdeen Police Department released a statement Tuesday acknowledging a video that's circulating on social media: ""Community concern about the details of ...",https://www.king5.com/article/news/local/family-of-man-killed-by-aberdeen-police-wants-answers/281-b5c35b12-8fd3-4488-af01-40528a0630e5,0,Q3,0
668,Connelly: Kshama Sawant debates Egan Orion. Class struggle or Council workhorse?,Seattle PI,2019-09-01 00:00:00,"Sawant was critical of Seattle Police, saying Seattle's Finest have engaged in ... arguments that the SPD is underfunded, pointing to $400 million in police ...",https://www.seattlepi.com/local/politics/article/Kshama-Sawant-debates-Egan-Orion-Class-struggle-14473053.php,0,Q3,3
669,"UPDATE: Pregnant woman stabbed in High Point, suspect in ...",West Seattle Blog...,2019-09-01 00:00:00,"Police say they're looking for a female suspect. No other information about the circumstances yet. 2:02 PM: The victim, described in radio communication as ...",https://westseattleblog.com/2019/09/police-fire-responding-to-reported-stabbing-in-high-point/,0,Q3,0
670,Ross: Why impeaching President Trump would be unfair,MyNorthwest.com,2019-09-01 00:00:00,"(Photo courtesy of Seattle Police Department, SPD layoffs Todd Herman Todd Herman Show Notes: 7.9.2021 · Seattle Interim Police Chief Adrian Diaz, SPD ...",https://mynorthwest.com/1531976/ross-why-impeaching-president-trump-would-be-unfair/?,0,Q3,3
671,Wanted: 21-year-old man charged with Todd Beamer student's murder,KIRO-TV,2019-09-01 00:00:00,"Fife police tell KIRO 7 they believe Cooke could be hiding in Federal Way, Tacoma or South Seattle. ""You stole from my family, how dare you,"" said Wilson.",https://www.kiro7.com/news/local/wanted-21-year-old-man-charged-with-todd-beamer-students-murder/990475288/,0,Q3,7
672,‘Worse than anything they’ll see on the street’: How new training will help Seattle police treat victims of violence,The Seattle Times,2019-10-01 00:00:00,"It was the final day of an advanced 4-day training program for the Seattle Police Department's certified Emergency Medical Technicians (EMTs), ...",https://www.seattletimes.com/seattle-news/crime/every-drop-of-blood-is-precious-how-new-training-helps-seattle-police-treat-victims-of-violence/,0,Q4,3
673,Internal inquiry: Seattle police officer acted properly when he fatally shot a man on New Year’s Eve,The Seattle Times,2019-10-01 00:00:00,But he has been previously identified by the police department as the officer who fired the shot. Wednesday's report from the Office of Police ...,https://www.seattletimes.com/seattle-news/crime/internal-inquiry-seattle-police-officer-acted-properly-when-he-fatally-shot-a-man-on-new-years-eve/,0,Q4,6
674,Fight in Seattle’s Lake City neighborhood leaves man dead,Q13 FOX,2019-10-01 00:00:00,The Seattle Police Department said the brawl broke out 33rd Avenue around 6 p.m. When officers arrived they found an unconscious 52-year-old man on the ...,https://www.q13fox.com/news/fight-in-seattles-lake-city-neighborhood-leaves-man-dead,0,Q4,3
675,Officials: Human error caused deadly Seattle crane collapse,KING 5,2019-10-01 00:00:00,The Seattle Police Department confirmed Thursday they are investigating the crane collapse. Seattle police said they were waiting for L&l to complete their ...,https://www.king5.com/article/news/local/crane-collapse/findings-of-deadly-seattle-crane-collapse/281-c29915b1-61ef-4fd0-a05a-1fb7ce2818db,0,Q4,3
676,'System Failure' report: Closer look at Seattle's broken justice system,KOMO,2019-10-01 00:00:00,"Of those 261 cases, 166 of them, 63%, were held by the Seattle Police Department. In other words, nothing happened. The reason the cases were held, ...",https://komonews.com/news/local/system-failure-report-closer-look-at-seattles-broken-justice-system,0,Q4,3
677,The Times recommends: Mark Solomon for Seattle City ...,The Seattle Times,2019-10-01 00:00:00,"The best remaining choice is left of center: Mark Solomon, a crime-prevention coordinator for the Seattle Police Department. A third-generation Beacon Hill ...",https://www.seattletimes.com/opinion/editorials/the-times-recommends-mark-solomon-for-seattle-council-district-2/,0,Q4,3
678,"Mayor Durkan, police and fire dept. leaders walk through the ...",Westside Seattle,2019-10-01 00:00:00,Photo by Patrick Robinson. VIDEO- Crime in West Seattle - Interview with SPD Assistant Chief Deanna Nolette ...,https://www.westsideseattle.com/robinson-papers/2019/10/25/mayor-durkan-police-and-fire-dept-leaders-walk-through-west-seattle,0,Q4,3
679,"SPD chiefs, on Donnie Chin's murder, public safety, API ...",Northwest Asian Weekly,2019-10-01 00:00:00,"Earlier this month, Seattle Police Department (SPD) head, Chief Carmen Best, and SPD Assistant Chief of the Criminal Investigations Bureau, Deanna Nollette, ...",https://nwasianweekly.com/2019/10/spd-chiefs-on-donnie-chins-murder-public-safety-api-recruitment-and-the-need-for-more-support-of-police-officers/,0,Q4,3
680,Guns seized from Redmond man after 'concerning Twitter posts' over new Joker movie,KIRO-TV,2019-10-01 00:00:00,Police became aware of the posts last week when notified by the Seattle Police Department's Criminal Intelligence Unit. One post depicted the man holding ...,https://www.kiro7.com/news/local/guns-seized-from-redmond-man-after-concerning-twitter-posts-over-new-joker-movie/995172918/,0,Q4,3
681,"'System Failure' report: Low Seattle police morale and 40,000 hours wasted",KOMO News,2019-10-01 00:00:00,"Now the frustration lies within the Seattle Police Department. An average of 40,000 hours wasted in one year, and we'll tell you how.",https://komonews.com/news/local/system-failure-report-low-morale-within-seattle-police-and-40000-hours-wasted,0,Q4,3
682,South Korean pop star Sulli found dead at her home,The Seattle Times,2019-10-01 00:00:00,"... star and actress Sulli was found dead at her home south of Seoul on Monday, police said. ... an official from the Seongnam Sujeong Police Department.",https://www.seattletimes.com/entertainment/report-south-korean-pop-star-sulli-found-dead-at-home/,0,Q4,3
683,"Amazon drops additional $1 million-plus into Seattle City Council races, with ballots out this week",The Seattle Times,2019-10-01 00:00:00,"Businesses and other contributors can give no more than $250 to council candidates who are using Seattle's taxpayer-funded democracy vouchers, and no more than ...",https://www.seattletimes.com/seattle-news/politics/amazon-drops-additional-1-million-plus-into-seattle-city-council-races-with-ballots-mailing-this-week/,0,Q4,4
684,Allow Dreamers to become police officers to better serve our communities,The Seattle Times,2019-10-01 00:00:00,Morales-Rosales was hired by the Colorado Springs Police Department earlier ... Seattle and to his position as a Seattle University public safety officer.,https://www.seattletimes.com/opinion/allow-dreamers-to-become-police-officers-to-better-serve-our-communities/,0,Q4,3
685,WEST SEATTLE CRIME WATCH: Police-gunfire followup; two ...,West Seattle Blog...,2019-10-01 00:00:00,"ADMIRAL INVESTIGATION: The police photo above shows the gun found in a trash bin, mentioned in our coverage last night. Here's what else SPD is now saying:.",https://westseattleblog.com/2019/10/west-seattle-crime-watch-police-gunfire-followup-two-bicycles-stolen/,0,Q4,5
686,"Trio of armed robberies overnight in Seattle likely connected, police say",KOMO News,2019-10-01 00:00:00,"SEATTLE - Three convenience stores were hit by armed robbers early Friday in Seattle, and the search is on for the culprits. Police say it is likely that ...",https://komonews.com/news/local/string-of-armed-robberies-in-seattle-overnight-may-be-connected-spd,0,Q4,3
687,Seattle City Council District 7: Andrew Lewis and Jim Pugel,The Seattle Globalist,2019-10-01 00:00:00,I was a founding member and the police department executive sponsor of Seattle's Law Enforcement Assisted Diversion (L.E.A.D.) program.,https://seattleglobalist.com/2019/10/16/district-7-andrew-lewis-and-jim-pugel/88431,0,Q4,3
688,77-year-old woman dies in Lake City hit-and-run,KIRO-TV,2019-10-01 00:00:00,SEATTLE — Seattle police are asking the public to be on the lookout for a driver ... to call the Seattle Police Department's traffic collision investigation ...,https://www.kiro7.com/news/local/77-year-old-woman-dies-in-lake-city-hit-and-run/997463986/,0,Q4,5
689,"1 dead, 1 injured in e-scooter, car crash in downtown Boise",The Seattle Times,2019-10-01 00:00:00,Boise Police Department says the crash occurred in downtown Boise after 8 p.m. Sunday. An Ada County emergency dispatcher confirmed the crash was between a ...,https://www.seattletimes.com/seattle-news/northwest/1-dead-1-injured-in-e-scooter-car-crash-in-downtown-boise/,0,Q4,3
690,Seattle police answers your questions about drugs in the area,KOMO,2019-10-01 00:00:00,Fentanyl has been a particularly strong focus this year for Seattle Police Department's narcotics unit. The drug can be deadly and is prolific.,https://komonews.com/news/local/seattle-police-answers-your-questions-about-drugs-in-the-area,0,Q4,3
691,"Google Maps now shows speed traps, potentially raising the ire of law enforcement",The Seattle Times,2019-10-01 00:00:00,"“Revealing the location of checkpoints puts those drivers, their passengers, and the general public at risk,” wrote the New York Police Department in a ...",https://www.seattletimes.com/nation-world/google-maps-now-helps-iphone-users-avoid-speed-traps/,0,Q4,3
692,Seattle Mayor's Office looks into controversial tweet from police chief,KOMO,2019-10-01 00:00:00,"She made the tweet while attending a conference of police chiefs in Chicago. As of Monday, she is still there, according to the SPD press office. When that same ...",https://komonews.com/news/local/seattle-mayors-office-looks-into-controversial-tweet-from-police-chief,0,Q4,3
693,"Old business records cause tension in Seattle City Council District 1 debate pitting Lisa Herbold, Phillip Tavel",The Seattle Times,2019-10-01 00:00:00,"Attorney Phillip Tavel, challenging incumbent Seattle City Councilmember ... Tavel criticized the City Council as unsupportive of the police department, ...",https://www.seattletimes.com/seattle-news/politics/old-business-records-cause-tension-in-seattle-city-council-district-1-debate-pitting-lisa-herbold-phillip-tavel/,0,Q4,4
694,"'We know them, they know us': An inside look at community-based policing in Seattle",Q13 FOX,2019-10-01 00:00:00,"SEATTLE – Emphasis patrols, a community-based policing method that focuses on deterring low-level crimes, have played an active role in the Seattle Police ...",https://www.q13fox.com/news/we-know-them-they-know-us-an-inside-look-at-community-based-policing-in-seattle,0,Q4,3
695,Sexual-assault suspect in Des Moines dies of unknown causes after fleeing police,The Seattle Times,2019-10-01 00:00:00,"... in a wooded area around the Des Moines Creek Trail on Sunday morning, according to the Des Moines Police Department. The cause of his death is unknown.",https://www.seattletimes.com/seattle-news/crime/sexual-assault-suspect-in-des-moines-dies-of-unknown-causes-after-fleeing-police/,0,Q4,3
696,"Fire at Lake City grocery store being investigated as arson, Seattle police say",The Seattle Times,2019-10-01 00:00:00,"Detectives believe a fire inside a Fred Meyer in Seattle's Lake City neighborhood Tuesday night was intentionally set, according to the Seattle Police ...",https://www.seattletimes.com/seattle-news/crime/fire-at-lake-city-grocery-store-being-investigated-as-arson-seattle-police-say/,0,Q4,3
697,"Seattle police need training to better understand sex workers, councilmembers say",KOMO News,2019-10-01 00:00:00,Councilmember Lorena Gonzalez is asking her fellow council members to create a Statement of Legislative Intent that would request appropriate Seattle Police ...,https://komonews.com/news/project-seattle/some-council-members-say-seattle-police-need-training-to-better-understand-sex-workers,0,Q4,4
698,Sammamish officials ‘heartbroken’ over deaths of 2 Skyline High School students who overdosed on fentanyl,The Seattle Times,2019-10-01 00:00:00,"A Seattle Police Department investigation that led to the arrest of a suspected drug dealer in Sammamish and the seizure of 12,000 fentanyl pills, ...",https://www.seattletimes.com/seattle-news/crime/sammamish-officials-heartbroken-over-deaths-of-2-skyline-high-school-students-who-overdosed-on-fentanyl/,0,Q4,5
699,"Seattle City Council District 2: Tammy Morales takes on Mark Solomon, who’s backed by mayor",The Seattle Times,2019-10-01 00:00:00,"Mark Solomon has visited school classrooms as a Police Department representative to discuss how students can safely interact with each other, neighbors and ...",https://www.seattletimes.com/seattle-news/politics/seattle-city-council-district-2-tammy-morales-takes-on-mark-solomon-backed-by-mayor/,0,Q4,3
700,Uwajimaya CEO on why her business gave up reporting crimes to SPD,MyNorthwest.com,2019-10-01 00:00:00,“System Failure 2” makes mention of a retail theft program that allows businesses to report incidents online with the Seattle Police Department.,https://mynorthwest.com/1538741/uwajimaya-seattle-prolific-offenders/,0,Q4,3
701,Kent teen pleads guilty to murder in death of police officer during high-speed chase,The Seattle Times,2019-10-01 00:00:00,Kent Police Officer Diego Moreno was killed in July 2018 when a fellow officer struck him during a... (Kent Police Department),https://www.seattletimes.com/seattle-news/crime/kent-teen-pleads-guilty-to-murder-in-death-of-police-officer-during-high-speed-chase/,0,Q4,3
702,Kshama Sawant faces Egan Orion in the most expensive Seattle City Council race so far this year,The Seattle Times,2019-10-01 00:00:00,"Kshama Sawant faces Egan Orion in the most expensive Seattle City Council race so far this year. Oct. 10, 2019 at 6:00 am Updated Oct. 24, 2019 at 2:01 pm.",https://www.seattletimes.com/seattle-news/politics/kshama-sawant-faces-egan-orion-in-the-most-expensive-seattle-city-council-race-so-far-this-year/,0,Q4,4
703,UPDATE: Admiral alley confrontation leads to police gunfire,West Seattle Blog...,2019-10-01 00:00:00,"Seattle's voters, unfortunately, are complicit in Seattle's current law-enforcement policies by voting for city council members who do not support Seattle's SPD ...",https://westseattleblog.com/2019/10/gunfire-reported-in-admiral/,0,Q4,4
704,Seattle homeless spending would surpass $100 million under Mayor Durkan’s budget next year,The Seattle Times,2019-10-01 00:00:00,"For instance, the police department is slated to spend nearly $410 million. At a council budget committee briefing on Wednesday, Council Chair Sally Bagshaw ...",https://www.seattletimes.com/seattle-news/homeless/seattle-homeless-spending-would-surpass-100-million-under-mayor-durkans-budget-next-year/,0,Q4,4
705,Rantz: Fed up activist threatens to tow derelict RVs to homes of Seattle councilmembers,MyNorthwest.com,2019-10-01 00:00:00,"In a letter to Mayor Jenny Durkan, the entire City Council, and the Seattle Police Department, Hoffman explained the dire situation and minced no words.",https://mynorthwest.com/1542689/activist-derelict-rvs-seattle-councilmembers/?,0,Q4,4
706,A Closer Look at the Headless Body Found on Beacon Hill,The Stranger,2019-10-01 00:00:00,"Acting on a tip, the Seattle Police Department (SPD) discovered the man's body on February 16 of this year, but the death didn't become public until a month ...",https://www.thestranger.com/slog/2019/10/31/41853343/a-closer-look-at-the-headless-body-found-on-beacon-hill,0,Q4,3
707,Elderly couple's South Seattle home hit with gunfire for 8th time this year,KING 5,2019-10-01 00:00:00,"On Wednesday, the family posted the surveillance video online to prompt interest in an answer. A Seattle Police Department spokesman said an investigation is ...",https://www.king5.com/article/news/crime/south-seattle-family-seeks-answers/281-d7db2cf8-3ccf-4def-9b82-0f62c77497a6,0,Q4,5
708,Man arrested in connection with fire set at Pioneer Square ...,KIRO-TV,2019-10-01 00:00:00,Firefighters were called to Trinity nightclub in Seattle's Pioneer Square ... Arson detectives with the Seattle Police Department are still investigating.,https://www.kiro7.com/news/local/-suspicious-fire-damages-pioneer-square-nightclub/997223020/,0,Q4,3
709,Tacoma police investigate after shots fired at Pierce County deputies during high-speed chase,KING 5,2019-10-01 00:00:00,"— After an early morning pursuit involving Pierce County Sheriff deputies with gunfire and speeds that reached nearly 100 miles per hour, the Tacoma Police ...",https://www.king5.com/article/news/crime/one-shot-after-police-chase-in-pierce-county/281-88a57f7e-7f93-49e9-857b-9ce3558bf2ef,0,Q4,7
710,CAPTURED: U.S. Marshals arrest Yakima County child rape suspect in Blaine after tips from WMW viewers,Q13 FOX,2019-10-01 00:00:00,"Their efforts, along with the faith the Yakima Police Department, Yakima County ... Seattle Police Department, and Yakima County Prosecutors Office.",https://www.q13fox.com/news/captured-u-s-marshals-arrest-yakima-county-child-rape-suspect-in-blaine-after-tips-from-wmw-viewers,0,Q4,3
711,Police leader Jim Pugel and political ‘natural’ Andrew Lewis clash in Seattle City Council District 7 race,The Seattle Times,2019-10-01 00:00:00,"Pugel, 60, wants voters to believe he'll restore order to the city they love, while Lewis, 29, is promising to guide them through Seattle's changes. The ...",https://www.seattletimes.com/seattle-news/politics/police-leader-pugel-and-political-natural-lewis-clash-in-seattle-city-council-district-7-race/,0,Q4,3
712,Kent police report decrease in overall crime despite staffing shortage,KING 5,2019-10-01 00:00:00,"— Crime is overall down in the city of Kent compared to the last few years, despite having a staffing shortage in the city's police department. Currently, the ...",https://www.king5.com/article/news/crime/crime-in-kent-down-despite-police-shortage/281-c05c9e81-b846-4327-a56e-4d8237b037b8,0,Q4,3
713,"These Seattle City Council candidates disagree on just about everything. Pedersen, Scott give District 4 voters a clear choice.",The Seattle Times,2019-10-01 00:00:00,"The opponents disagree about homeless-camp evictions, police oversight, bike lanes, taxes and development. They couldn't truly compliment each other at a ...",https://www.seattletimes.com/seattle-news/politics/pedersen-scott-provide-district-4-voters-with-clear-choice-in-seattle-city-council-matchup/,0,Q4,3
714,'The Pacific Northwest is drowning in methamphetamine:' 17 arrested in major drug trafficking operation,Q13 FOX,2019-10-01 00:00:00,SEATTLE -- Authorities arrested 17 alleged drug traffickers and ... Other assisting agencies include the Kent Police Department and the King County ...,https://www.q13fox.com/news/the-pacific-northwest-is-drowning-in-methamphetamine-17-arrested-in-major-drug-trafficking-operation,0,Q4,2
715,Tweet on repeat offenders speaks to broader frustration in Seattle,KOMO,2019-10-01 00:00:00,SEATTLE - A tweet by Seattle's police chief about repeat offenders cut ... public safety advisor to work with the police department and the city attorney's ...,https://komonews.com/news/local/tweet-on-repeat-offenders-speaks-to-broader-frustration-in-seattle,0,Q4,3
716,"Pedersen, Scott draw clear distinctions in zippy Seattle City Council District 4 debate",The Seattle Times,2019-10-01 00:00:00,"Seattle City Council candidates Alex Pedersen and Shaun Scott were asked ... drug use at city-sanctioned camps, Seattle's new police-union contracts and the ...",https://www.seattletimes.com/seattle-news/politics/pedersen-scott-draw-clear-distinctions-in-zippy-seattle-city-council-district-4-debate/,0,Q4,3
717,"SPD officer, WA congressional candidate on the opioid fight, stronger treatment",MyNorthwest.com,2019-10-01 00:00:00,"Keith Swank is a United States airborne infantry veteran and a 30-year veteran of the Seattle Police Department, who's taken a special interest in the ...",https://mynorthwest.com/1546548/opioid-congress-keith-swank/,0,Q4,3
718,"Seattle bike-bait sting netted a lot of homeless people, but few convictions",The Seattle Times,2019-10-01 00:00:00,When I wrote recently about police using an unlocked bike as theft bait outside a ... (I'm not sure why this doesn't exactly match SPD's figure of 12).,https://www.seattletimes.com/seattle-news/crime/seattle-bike-bait-sting-netted-a-lot-of-homeless-people-but-few-convictions/,0,Q4,3
719,A cheat sheet for the Nov. 5 general election: The Seattle Times editorial board’s endorsements,The Seattle Times,2019-10-01 00:00:00,"Mark Solomon, District 2. The best remaining choice is left of center: Mark Solomon, a crime-prevention coordinator for the Seattle Police Department. A third- ...",https://www.seattletimes.com/opinion/editorials/a-cheat-sheet-for-the-nov-5-general-election-the-seattle-times-editorial-boards-endorsements/,0,Q4,3
720,"With eyes everywhere, Ring’s Neighbors app and other surveillance technologies deepen racial divides",The Seattle Times,2019-10-01 00:00:00,"Brown, the lead pastor of Seattle's Plymouth Church, said Jefferson's ... Nextdoor already has a partnership with the Seattle Police Department to have ...",https://www.seattletimes.com/seattle-news/with-eyes-everywhere-rings-neighbors-app-and-other-surveillance-technologies-deepen-racial-divides/,0,Q4,3
721,Today in History: Seven prisoners escape King County Jail in 1979,KIRO-TV,2019-10-01 00:00:00,"Unbeknown to the escapees, the Seattle Police Department, housed in the Public Safety Building, was changing patrol shifts. Officer Glenn Gilbert, making a ...",https://www.kiro7.com/news/local/today-in-history-seven-prisoners-escape-king-county-jail-in-1979/997318926/,0,Q4,3
722,Starbucks hosting 'Wake Up and Vote' event at Central District ...,CHS Capitol Hill Seattle,2019-10-01 00:00:00,Seattle's online retail giant Amazon has added its heavy mark to its home city's ... working closely with the Seattle Police Department and local service ...,https://www.capitolhillseattle.com/2019/10/starbucks-hosting-wake-up-and-vote-event-at-central-district-cafe/,0,Q4,3
723,Attempted abduction reported near Bremerton elementary school,KING 5,2019-10-01 00:00:00,"Police are investigating an attempted abduction that happened near an elementary school in Bremerton. According to the Bremerton Police Department, ...",https://www.king5.com/article/news/local/bremerton/attempted-abduction-reported-near-bud-hawk-elementary-bremerton/281-e1e174a5-1482-4f83-a9b5-efe215385f05,0,Q4,3
724,"Accusations over unpaid taxes, traffic tickets fly as Seattle City Council District 1 race heats up",The Seattle Times,2019-10-01 00:00:00,Lisa Herbold racked up the most support of any Seattle City Council candidate ... Both support expanding the police department and Law Enforcement Assisted ...,https://www.seattletimes.com/seattle-news/politics/accusations-over-unpaid-taxes-traffic-tickets-fly-as-seattle-city-council-district-1-race-heats-up/,0,Q4,4
725,Arlington High School evacuated for 'emergency situation',KIRO-TV,2019-10-01 00:00:00,It also instructed the public to not approach the campus. The Arlington Police Department and Arlington Fire Department are on the scene investigating.,https://www.kiro7.com/news/local/arlington-high-school-evacuated-for-emergency-situation-/1000315575/,0,Q4,3
726,Watch: Homeless woman’s viral subway opera performance may get her off the streets,The Seattle Times,2019-10-01 00:00:00,"“4 million people call LA home,” the Los Angeles Police Department tweeted two days later, sharing the one-minute video clip the officer captured.",https://www.seattletimes.com/nation-world/homeless-womans-viral-subway-opera-performance-may-get-her-off-the-streets/,0,Q4,3
727,No injuries reported in Sunday afternoon shootout across from ...,CHS Capitol Hill Seattle,2019-10-01 00:00:00,"Police were called to the scene just before 4:30 PM to a report of at least ... According to SPD (PDF), citywide shots fired reports so far in 2019 are on ...",https://www.capitolhillseattle.com/2019/10/no-injuries-reported-in-sunday-afternoon-shootout-across-from-garfield-high-school/,0,Q4,6
728,Seattle council ‘shocked’ over deputy chief’s prostitution statement,MyNorthwest.com,2019-10-01 00:00:00,"As first reported by Crosscut's David Kroman, Seattle police have ... believe most sex workers were trafficking victims which SPD is committed to rescuing.",https://mynorthwest.com/1541126/seattle-council-prostitution-marc-garth-green/,0,Q4,3
729,"Prolific mail thief in Shoreline stole IDs and credit cards, police say",KIRO-TV,2019-10-01 00:00:00,"A man who police say stole hundreds of pieces of mail was arrested in ... credit cards,"" a spokesperson for the police department wrote in a news release.",https://www.kiro7.com/news/local/prolific-mail-thief-in-shoreline-stole-ids-and-credit-cards-police-say/1001127218/,0,Q4,2
730,Actor Jared Padalecki accused in assault at his Austin bar,The Seattle Times,2019-10-01 00:00:00,The affidavit says employees then tried to keep Padalecki out “because of his intoxicated behavior.” An assistant manager told police that Padalecki slapped him ...,https://www.seattletimes.com/entertainment/actor-jared-padalecki-accused-in-assault-at-his-austin-bar/,0,Q4,6
731,"Departing as CID Public Safety Coordinator, Sonny Nguyen ...",International Examiner,2019-10-01 00:00:00,"... Nguyen reports to a Public Safety Council which includes one seat for a mayoral appointee, the captain of the Seattle Police Department's (SPD) West ...",https://iexaminer.org/departing-as-cid-public-safety-coordinator-sonny-nguyen-reflects-on-over-two-years-on-the-job/,0,Q4,4
732,Seattle City Council Voter Guide: District 6,MyNorthwest.com,2019-10-01 00:00:00,"She also supports expanded staffing for the police department, continued improvement of regulations to allow for Accessory Dwelling Units, and congestion ...",https://mynorthwest.com/1559521/seattle-city-council-voter-guide-district-6/?,0,Q4,3
733,Jewish cemetery 'raises stink' to force RV campers away in North Seattle,KOMO News,2019-10-01 00:00:00,"Technically, they're in compliance of the law,” said Hoffman. KOMO News reached out to the mayor's office, Seattle City Council, and the police department for ...",https://komonews.com/news/local/frustrated-residents-act-because-of-rv-campers-at-jewish-cemetery-in-north-seattle,0,Q4,4
734,6 charged in drug scheme related to death of Vine co-founder,The Seattle Times,2019-10-01 00:00:00,"The U.S. Attorney's Office in partnership with the New York Police Department, the Drug Enforcement Administration and Homeland Security Investigations said ...",https://www.seattletimes.com/business/6-charged-in-drug-scheme-related-to-death-of-vine-co-founder/,0,Q4,3
735,"Why shelters aren't always the answer for Seattle's homeless, experts say",KOMO,2019-10-01 00:00:00,"The Navigation Team, a group of outreach workers and Seattle Police Department personnel, is tasked with connecting unsheltered individuals with shelter and ...",https://komonews.com/news/local/why-shelters-arent-always-the-answer-for-seattles-homeless-experts-say,0,Q4,3
736,Video captures woman in wheelchair attacked at Belltown bus stop,KOMO,2019-10-01 00:00:00,The Seattle Police Department told them that it's working with multiple agencies to make this area safer. SPD's West Precinct oversees the Third Avenue area ...,https://komonews.com/news/local/video-captures-woman-in-wheelchair-attacked-at-belltown-bus-stop,0,Q4,3
